Q3_1,Q3_2,Q5_1,Q5_2,Q7_1,Q7_2,Q9_1,Q9_2,Q11_1,Q11_2,Q13_1,Q13_2,Q15_1,Q15_2,Q17_1,Q17_2,Q19_1,Q19_2,Q21_1,Q21_2,Q23_1,Q23_2,Q25_1,Q25_2,Q27_1,Q27_2,Q29_1,Q29_2,Q31_1,Q31_2,Q33_1,Q33_2,Q35_1,Q35_2,Q37_1,Q37_2,Q39_1,Q39_2,Q41_1,Q41_2,Q43_1,Q43_2,Q45_1,Q45_2,Q47_1,Q47_2,Q49_1,Q49_2,Q51_1,Q51_2,Q53_1,Q53_2,Q55_1,Q55_2,Q57_1,Q57_2,Q59_1,Q59_2,Q61_1,Q61_2,Q63_1,Q63_2,Q65_1,Q65_2,Q67_1,Q67_2,Q69_1,Q69_2,Q71_1,Q71_2,Q75_1,Q75_2,Q77_1,Q77_2,Q79_1,Q79_2,Q81_1,Q81_2,Q83_1,Q83_2,Q85_1,Q85_2,Q87_1,Q87_2,Q89_1,Q89_2,Q91_1,Q91_2,Q93_1,Q93_2,Q95_1,Q95_2,Q97_1,Q97_2,Q99_1,Q99_2,Q101_1,Q101_2,Q103_1,Q103_2,Q105_1,Q105_2,Q107_1,Q107_2,Q109_1,Q109_2,Q111_1,Q111_2,Q113_1,Q113_2,Q115_1,Q115_2,Q117_1,Q117_2,Q119_1,Q119_2,Q121_1,Q121_2,Q123_1,Q123_2,Q125_1,Q125_2,Q127_1,Q127_2,Q129_1,Q129_2,Q131_1,Q131_2,Random ID
91,84,62,58,78,66,73,66,70,70,68,72,74,70,74,75,71,68,61,61,73,75,70,72,80,73,83,74,72,75,76,78,95,99,93,81,88,86,81,81,72,73,73,74,72,70,70,71,72,73,73,76,75,73,73,72,71,73,53,53,70,62,69,66,66,66,66,66,61,62,68,70,90,85,69,72,70,70,73,71,81,75,75,78,79,80,75,75,79,75,78,69,77,72,73,69,83,76,83,78,79,77,75,69,80,75,67,65,80,75,60,60,77,75,84,84,78,85,85,83,90,84,92,94,63,61,80,81,215714
91,96,26,9,5,78,2,67,98,98,29,14,68,,72,61,79,75,66,40,92,86,74,59,28,85,71,75,51,0,56,11,81,71,78,60,86,78,51,49,80,80,59,55,25,38,85,80,62,62,44,47,69,50,29,18,74,75,5,80,61,61,76,64,0,100,71,72,7,29,9,18,81,85,1,62,50,56,30,5,68,74,17,80,51,60,15,41,62,91,10,33,1,64,70,61,67,62,48,60,66,63,10,2,3,93,97,96,76,87,6,71,50,50,73,74,79,80,68,69,83,84,68,67,14,93,64,79,815011
65,80,10,80,10,0,0,50,90,100,0,0,,,80,40,60,100,40,100,0,20,0,80,50,50,50,100,0,0,40,40,60,60,80,80,80,82,15,5,100,50,20,100,20,,20,100,100,100,55,55,40,80,0,20,25,40,20,50,75,34,75,71,0,100,50,60,0,10,0,14,95,100,78,100,20,100,0,100,100,100,54,54,30,100,54,54,100,100,0,20,1,0,1,0,2,16,29,80,89,80,25,31,81,87,83,95,100,100,0,100,0,78,41,91,29,100,97,100,100,100,100,100,55,55,78,83,681341
100,100,0,6,0,6,100,100,100,100,0,8,60,37,75,75,100,100,0,40,100,82,0,0,51,51,52,71,31,18,42,30,71,62,50,71,59,46,83,66,92,72,100,100,9,9,10,21,100,100,51,51,9,19,0,4,2,2,0,81,30,51,51,32,50,50,52,51,0,30,0,36,70,61,0,51,51,51,50,50,48,51,29,100,0,88,0,62,0,100,0,28,100,100,100,100,100,100,51,51,51,51,0,0,0,70,100,100,100,100,0,60,0,5,70,82,83,100,100,99,100,100,100,100,71,100,39,62,37786
100,73,9,30,3,42,21,70,80,71,0,11,60,40,70,57,64,61,,,83,100,51,51,40,60,40,76,44,14,23,31,75,60,50,51,80,53,44,42,71,60,54,74,30,39,71,56,46,37,43,46,51,51,31,34,59,49,2,64,51,51,74,63,0,100,63,58,25,22,22,31,69,66,20,64,51,51,24,54,49,51,51,58,39,70,22,42,8,59,20,25,18,55,58,47,55,42,60,56,59,60,0,14,9,42,75,67,61,55,20,51,39,61,64,74,38,60,61,47,62,53,58,44,39,40,57,60,313272
70,70,0,0,0,0,0,0,100,100,0,0,60,60,70,70,100,100,25,25,81,81,70,75,33,33,75,75,50,0,0,0,80,80,70,69,100,100,40,40,75,75,80,,20,30,80,80,75,74,43,43,42,30,0,0,50,50,16,41,61,61,72,72,0,100,59,57,26,25,26,13,82,82,20,81,51,51,25,0,67,67,52,67,53,70,18,92,71,100,28,29,31,39,51,51,71,70,51,51,71,71,0,52,1,100,71,77,63,99,22,92,53,52,53,100,53,100,84,91,100,100,91,92,58,58,72,71,45827
64,50,58,55,65,69,38,59,61,42,69,35,66,64,88,57,65,51,67,33,52,39,71,36,63,58,52,40,63,36,61,41,67,64,43,58,60,37,64,56,37,61,63,40,67,35,53,67,65,61,35,60,64,32,65,34,61,35,62,41,65,36,64,44,65,50,41,62,43,39,67,62,63,39,65,36,67,36,65,38,76,39,65,38,64,45,64,40,61,42,60,43,51,69,64,58,40,61,66,56,38,59,100,67,63,40,60,41,28,57,67,29,33,20,31,51,65,34,36,51,64,33,61,35,58,37,65,51,474065
75,76,75,70,71,73,85,61,66,78,73,76,76,75,86,80,74,81,62,76,37,30,39,31,38,25,26,72,28,38,32,39,37,27,33,43,37,39,32,34,31,43,65,62,68,65,77,68,64,77,77,66,68,69,74,67,76,68,70,66,72,74,77,67,62,71,73,71,68,59,41,44,58,57,59,58,59,59,76,63,62,70,32,35,38,39,42,45,58,64,69,64,43,42,56,44,61,60,44,43,57,66,71,36,65,63,40,58,63,79,38,37,63,66,35,44,64,67,38,41,61,70,35,67,61,74,72,79,643329
72,80,14,19,2,30,1,40,80,84,5,4,61,56,78,65,81,75,63,51,90,91,51,63,27,61,70,86,51,2,59,17,74,57,70,75,77,72,24,30,76,88,79,71,29,56,77,85,74,58,50,34,60,70,15,13,79,83,9,84,69,59,70,78,6,93,70,62,12,35,7,14,67,81,5,93,66,76,20,30,74,86,51,83,51,79,10,84,63,75,12,26,14,45,69,61,70,75,51,69,70,78,51,67,13,83,87,92,71,87,7,76,65,66,64,74,71,75,69,61,70,61,71,57,40,63,65,74,586013
90,90,26,26,9,5,0,0,100,100,8,4,73,63,75,76,87,75,59,56,85,86,61,68,19,55,64,81,50,9,69,51,67,50,63,75,71,66,24,40,73,65,60,70,40,51,75,79,64,66,36,50,65,64,8,5,75,73,0,18,67,68,69,62,0,42,61,61,0,22,5,13,72,77,0,37,63,62,23,0,68,69,39,50,52,51,12,24,61,65,15,13,0,9,67,69,63,63,51,51,57,58,51,51,21,0,86,81,78,86,50,50,52,51,69,74,62,65,66,67,65,66,68,66,37,51,66,66,722575
91,70,0,10,0,10,0,9,80,70,0,10,60,50,90,70,90,70,70,60,100,80,70,60,10,19,80,60,20,11,20,20,79,60,70,60,70,60,40,40,60,50,50,50,20,20,70,60,20,20,53,51,61,51,20,20,19,19,5,30,69,59,82,67,10,51,81,65,19,46,9,29,82,57,11,10,51,51,30,27,72,51,51,51,51,51,12,24,28,29,12,27,11,10,12,12,68,65,49,51,71,61,18,17,10,12,92,68,89,66,13,13,79,71,62,62,26,25,66,66,79,71,51,51,19,20,51,51,536749
100,73,0,41,0,19,0,41,92,78,0,21,75,35,100,51,89,39,68,61,100,80,0,19,0,54,18,74,0,0,0,13,100,51,30,14,82,51,0,17,82,51,0,19,0,28,75,63,81,60,0,27,19,66,0,18,40,61,0,73,0,20,92,39,0,91,51,23,0,26,0,21,92,60,0,85,0,15,0,32,21,8,49,51,1,51,4,71,70,94,0,27,89,61,91,58,0,22,10,75,93,57,30,89,0,72,100,93,100,70,0,66,1,17,0,67,0,0,91,60,91,58,92,61,0,55,0,39,352505
100,100,0,10,0,20,0,20,88,82,0,0,50,65,100,85,92,69,100,83,100,100,,55,49,55,55,100,50,0,63,85,100,78,50,74,100,61,0,27,53,67,51,56,0,26,81,100,75,55,0,32,57,86,0,30,65,70,0,22,52,65,77,83,0,69,,66,0,43,0,32,100,100,3,97,,58,6,50,65,100,,71,,56,0,13,75,100,0,11,0,18,60,57,,74,,63,61,86,55,64,0,28,100,100,71,91,0,61,31,61,,88,,85,97,78,65,77,67,68,29,47,52,66,171325
100,96,3,5,0,0,0,0,100,90,3,11,85,85,90,75,92,85,65,80,93,94,90,81,20,27,100,100,50,50,70,60,92,84,4,23,81,71,51,50,72,51,30,62,15,60,96,100,50,50,50,50,10,11,3,0,20,20,0,97,70,60,85,75,0,90,85,95,0,7,8,35,75,65,3,17,55,45,65,55,90,80,5,85,0,90,1,70,0,96,30,25,0,90,71,53,85,95,40,20,90,88,0,0,4,0,100,99,88,75,0,88,50,50,80,100,0,100,82,64,98,92,98,94,29,41,52,38,201147
56,48,8,22,3,37,4,68,87,84,2,51,41,25,72,54,82,67,79,46,86,82,57,48,60,80,33,78,68,51,40,67,85,54,52,51,77,71,20,34,72,54,20,41,19,27,19,79,56,45,13,49,75,52,22,35,51,40,20,30,65,46,59,79,20,31,52,28,1,45,14,69,91,64,87,74,57,53,23,43,54,31,61,59,3,43,5,69,59,85,16,31,1,59,69,53,28,41,40,76,75,64,13,28,65,69,79,82,86,92,56,37,6,35,54,67,74,61,73,57,75,65,74,58,5,64,28,41,320210
71,78,77,74,75,77,78,74,73,79,80,76,82,77,78,74,84,75,80,76,75,80,84,84,84,79,84,75,81,77,76,81,78,81,69,78,74,77,74,77,79,79,83,86,83,83,68,83,74,80,74,74,74,79,81,77,79,85,83,87,75,75,81,79,50,50,82,82,81,90,50,50,,,71,81,77,79,50,50,79,79,79,85,87,81,50,50,83,77,91,78,94,84,50,50,82,84,91,87,91,85,87,78,85,86,79,88,86,89,87,90,82,84,92,91,85,87,93,94,93,94,92,92,91,94,82,94,49592
