,musicId,fileName,title,artist,album,duration,chorus_start_time,chorus_end_time,lyrics
10,13,13.mp3,Weak,AJR,What Everyone's Thinking,33.12,2:38,3:09,"

Verse   Jack
No thank you is what I shouldve said
I should be in bed
But temptations of trouble on my tongue
Troubles yet to come

PreChorus Jack
One sip bad for me
One hit bad for me
One kiss bad for me
But I give in so easily
And no thank you is how it shouldve gone
I should stay strong

Chorus All
But Im weak and whats wrong with that
Boy oh boy I love it when I fall for that
Im weak and whats wrong with that
Boy oh boy I love it when I fall for that
Im weak
Ooh waaaaaaa ee ya ee ya
Ooh waaaaaaa ee ya ee ya
But Im weak and whats wrong with that
Boy oh boy I love it when I fall for that
Boy oh boy I love it when I fall for that

Verse  
No thank you
They call me after dark I dont want no part
My habits they hold me like a grudge
I promise I wont budge

PreChorus Jack
One sip bad for me
One hit bad for me
One kiss bad for me
But I give in so easily
And no thank you is how it shouldve gone
I should stay strong

Chorus
But Im weak and whats wrong with that
Boy oh boy I love it when I fall for that
Im weak and whats wrong with that
Boy oh boy I love it when I fall for that
Im weak
Ooh waaaaaaa ee ya ee ya
Ooh waaaaaaa ee ya ee ya
But Im weak and whats wrong with that
Boy oh boy I love it when I fall for that

Bridge
We we fall for that
Wake up we fall again
We we fall for that
Cant wait to fall again

PreChorus
One sip bad for me
One hit bad for me
One kiss bad for me
But I give in so easily
And no thank you is how it shouldve gone
I should stay strong

Chorus
But Im weak and whats wrong with that
Boy oh boy I love it when I fall for that
Im weak and whats wrong with that
Boy oh boy I love it when I fall for that
Im weak
Go
Ooh waaaaaaa ee ya ee ya
Ooh waaaaaaa ee ya ee ya
But Im weak and whats wrong with that
Boy oh boy I love it when I fall for that
Ooh waaaaaaa ee ya ee yaaaaa

"
11,14,14.mp3,I’m Sorry,Adam Wakefield,I’m Sorry (The Voice Performance),26.1,1:55,2:19,
12,15,15.mp3,Lonesome Broken and Blue (The Voice Performance),Adam Wakefield,The Complete Season 10 Collection (The Voice Performance),37.13,2:56,3:31,
13,16,16.mp3,When I Call Your Name (The Voice Performance),Adam Wakefield,The Complete Season 10 Collection (The Voice Performance),51.16,2:06,2:55,
14,17,17.mp3,Hello,Adele,Hello,53.15,3:51,4:42,"by九九Lrc歌词网www  Lrcnet
       Hello its me
       I was wondering if after all these years youd like to meet
       To go over everything
       They say that times supposed to heal ya but I aint done much healing
       Hello can you hear me
       Im in California dreaming about who we used to be
       When we were younger and free
       Ive forgotten how it felt before the world fell at our feet
       Theres such a difference between us
       And a million miles
       Hello from the other side
       I mustve called a thousand times to tell you
       Im sorry for everything that Ive done
       But when I call you never seem to be home
       Hello from the outside
       At least I can say that Ive tried to tell you
       Im sorry for breaking your heart
       But it dont matter it clearly doesnt tear you apart anymore
       Hello how are you
       Its so typical of me to talk about myself
       Im sorry I hope that youre well
       Did you ever make it out of that town
       Where nothing ever happened
       Its no secret
       That the both of us are running out of time
       So hello from the other side
       I mustve called a thousand times to tell you
       Im sorry
       for everything that Ive done
       But when I call you never seem to be home
       Hello from the outside
       At least I can say that Ive tried to tell you
       Im sorry for breaking your heart
       But it dont matter
       it clearly doesnt tear you apart anymore
       but it wont
       anymore
       anymore
       anymore
       Hello from the other side
       I mustve called a thousand times
       to tell you
       Im sorry
       for everything that Ive done
       But when I call you never seem to be home
       Hello from the outside
       At least I can say that Ive tried
       to tell you
       Im sorry for breaking your heart
       But it dont matter
       it clearly doesnt tear you apart anymore"
15,18,18.mp3,Send My Love (To Your New Lover),Adele,Send My Love (To Your New Lover),52.16,2:50,3:40,"

Intro
Just the guitar
Okay cool

Verse  
This was all you none of it me
You put your hands on on my body and told me
Mmm told me you were ready
For the big one for the big jump
Id be your last love everlasting you and me
Mmm that was what you told me

PreChorus
Im giving you up
Ive forgiven it all
You set me free

Chorus
Send my love to your new lover
Treat her better
Weve gotta let go of all of our ghosts
We both know we aint kids no more
Send my love to your new lover
Treat her better
Weve gotta let go of all of our ghosts
We both know we aint kids no more

Verse  
I was too strong you were trembling
You couldnt handle the hot heat rising rising
Mmm baby Im still rising
I was running you were walking
You couldnt keep up you were falling down down
Mmm theres only one way down

PreChorus
Im giving you up
Ive forgiven it all
You set me free oh

Chorus
Send my love to your new lover
Treat her better
Weve gotta let go of all of our ghosts
We both know we aint kids no more
Send my love to your new lover
Treat her better
Weve gotta let go of all of our ghosts
We both know we aint kids no more

Bridge
If youre ready if youre ready
If youre ready I am ready
If youre ready if youre ready
We both know we aint kids no more
No we aint kids no more

PreChorus
Im giving you up
Ive forgiven it all
You set me free

Chorus
Send my love to your new lover
Treat her better
Weve gotta let go of all of our ghosts
We both know we aint kids no more
Send my love to your new lover
Treat her better
Weve gotta let go of all of our ghosts
We both know we aint kids no more

Outro
If youre ready if youre ready
Send my love to your new lover
If youre ready are you ready
Treat her better
Weve gotta let go of all of our ghosts
We both know we aint kids no more
If youre ready if youre ready
Send my love to your new lover
If youre ready are you ready
Treat her better
Weve gotta let go of all of our ghosts
We both know we aint kids no more

"
16,19,19.mp3,Water Under The Bridge,Adele,25,43.15,3:02,3:43,"       作曲  Adele AdkinsGreg Kurstin
       If youre not the one for me
       Then how come I can bring you to your knees
       If youre not the one for me
       Why do I hate the idea of being free
       And if Im not the one for you
       Youve got to stop holding me the way you do
       Oh honey if Im not the one for you
       Why have we been through what we have been through
       
       Its so cold out here in your wilderness
       I want you to be my keeper
       But not if you are so reckless
       
       If youre gonna let me down let me down gently
       Dont pretend that you dont want me
       Our love aint water under the bridge
       If youre gonna let me down let me down gently
       Dont pretend that you dont want me
       Our love aint water under the bridge
       Woaah woaaah
       Say that our love aint water under the bridge
       
       What are you waiting for
       You never seem to make it through the door
       And who are you hiding from
       It aint no life to live like youre on the run
       Have I ever asked for much
       The only thing that I want is your love
       
       If youre gonna let me down let me down gently
       Dont pretend that you dont want me
       Our love aint water under the bridge
       If youre gonna let me down let me down gently
       Dont pretend that you dont want me
       Our love aint water under the bridge
       Woaah woaaah
       Say that our love aint water under the bridge
       
       Its so cold in your wilderness
       I want you to be my keeper
       But not if you are so reckless
       
       If youre gonna let me down let me down gently
       Dont pretend that you dont want me
       Our love aint water under the bridge
       If youre gonna let me down let me down gently
       Dont pretend that you dont want me
       Our love aint water under the bridge
       
       Say it aint so say it aint so
       Say it aint so say it aint so
       Say that our love aint water under the bridge
       Say that our love aint water under the bridge
       Say that our love aint water under the bridge"
17,20,20.mp3,We're In This Love Together,Al Jarreau,Breakin' Away,81.22,2:27,3:46,"作曲  Al Jarreau
作词  Al Jarreau
Its like a diamond ring
Its a precious thing
And we never want to lose it
Its like a favorite song
That we love to sing
Every time we hear the music
Were in this love together
We got the kind that lasts forever
Were in this love together
And like berries on the vine
It gets sweeter all the time
Its like a rainy night in candlelight
And ooh its so romantic
We got the whole thing working
out so right
And its just the way we planned it
Tell ya
Were in this love together
We got the kind that lasts forever
Dont you know
Were in this love together
And like berries on the vine
It gets sweeter all the time
Were in this love together
We got the kind that lasts forever
Were in this love together
And like berries on the vine
It gets sweeter all the time"
18,21,21.mp3,Faded,Alan Walker,Faded,45.14,2:32,3:15,"       作曲  Jesper BorgenGunnar Greve PettersenAlan WalkerAnders Froen
       作词  Jesper BorgenGunnar Greve PettersenAlan WalkerAnders Froen
       You were the shadow to my light
       Did you feel us
       Another Star
       You fade away
       Afraid our aim is out of sight
       Wanna see us
       Alive
       Where are you now
       Where are you now
       Where are you now
       Was it all in my fantasy
       Where are you now
       Were you only imaginary
       Where are you now
       Atlantis
       Under the sea
       Under the sea
       Where are you now
       Another dream
       The monsters running wild inside of me
       Im faded
       Im faded
       So lost Im faded
       Im faded 
       So lost Im faded
       These shallow waters never met
       What i needed
       Im letting go
       A deeper dive
       Eternal silence of the sea
       Im breathing
       Alive
       Where are you now
       Where are you now
       Under the bright but faded lights
       You set my heart on fire
       Where are you now
       Where are you now
       
       Where are you now
       Atlantis
       Under the sea
       Under the sea
       Where are you now
       Another dream
       The monsters running wild inside of me
       Im faded
       Im faded
       So lost Im faded
       Im faded 
       So lost Im faded
       "
19,23,23.mp3,How Far I'll Go(Alessia Cara Version),Alessia Cara,Moana (Original Motion Picture Soundtrack),28.09,2:19,2:45,"by工作婊
      Ive been standing at the edge of the water
      Long as I can remember never really knowing why
      I wish I could be the perfect daughter
      But I come back to the water no matter how hard I try
      Every turn I take every trail I track
      Every path I make every road leads back
      To the place I know where I can not go though I long to be
      
      See the line where the sky meets the sea It calls me
      And no one knows how far it goes
      If the wind on my sail on the sea stays behind me
      One day Ill know if I go theres just no telling how far Ill go
      
      Goohohohohohohohohoh
      
      I know everybody on this island seems so happy on this island
      Everything is by design
      I know everybody on this island has a role on this island
      So maybe I can roll with mine
      I can lead with pride I can make us strong
      Ill be satisfied if I play along
      But the voice inside sings a different song
      What is wrong with me
      
      See the light as it shines on the sea Its blinding
      But no one knows how deep it goes
      And it seems like its calling out to me so come find me
      And let me know whats beyond that line will I cross that line
      
      See the line where the sky meets the sea It calls me
      And no one knows how far it goes
      If the wind on my sail in t he sea stays behind me
      One day Ill know how far Ill go"
