,Unnamed: 0,url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,ID,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence
27,39,http://www.billboard.com/charts/hot-100/2017-04-29,4/29/2017,4,Sign Of The Times,Harry Styles,Sign Of The TimesHarry Styles,1,,4,1,spotify:track:5Ohxk2dO5COHF1krpoPigN,0.516,0.595,5,1,0.0275,0.0,119.972,0.222
28,40,http://www.billboard.com/charts/hot-100/2017-05-06,5/6/2017,4,DNA.,Kendrick Lamar,DNA.Kendrick Lamar,1,,4,1,spotify:track:6HZILIRieu8S0iqY8kIKhj,0.638,0.523,1,1,0.00454,0.0,139.913,0.422
29,41,http://www.billboard.com/charts/hot-100/2017-09-23,9/23/2017,4,...Ready For It?,Taylor Swift,...Ready For It?Taylor Swift,1,,4,1,spotify:track:2yLa0QULdQr0qAIvVwN6B5,0.613,0.764,2,1,0.0527,0.0,160.015,0.417
30,42,https://www.billboard.com/charts/hot-100/2018-04-14,4/14/2018,4,Call Out My Name,The Weeknd,Call Out My NameThe Weeknd,1,,4,1,spotify:track:09mEdoA6zrmBPgTEN5qXmN,0.461,0.593,1,1,0.17,0.0,134.17,0.175
31,43,https://www.billboard.com/charts/hot-100/2018-08-18,8/18/2018,4,Sicko Mode,Travis Scott,Sicko ModeTravis Scott,1,,4,1,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,8,1,0.00513,0.0,155.008,0.446
32,44,https://www.billboard.com/charts/hot-100/2019-10-19,10/19/2019,4,"10,000 Hours",Dan + Shay & Justin Bieber,"10,000 HoursDan + Shay & Justin Bieber",1,,4,1,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,0.654,0.63,10,1,0.153,0.0,89.991,0.43
33,46,http://www.billboard.com/charts/hot-100/1995-06-24,6/24/1995,5,One More Chance/Stay With Me,The Notorious B.I.G.,One More Chance/Stay With MeThe Notorious B.I.G.,1,,5,1,spotify:track:7fXhkARAtS66kxexMIAx8O,0.725,0.68,0,1,0.149,0.0,90.964,0.695
34,47,http://www.billboard.com/charts/hot-100/1997-05-24,5/24/1997,5,Say You'll Be There,Spice Girls,Say You'll Be ThereSpice Girls,1,,5,1,spotify:track:1yTQ39my3MoNROlFw3RDNy,0.726,0.679,1,1,0.0149,1.49e-06,107.02,0.751
35,48,http://www.billboard.com/charts/hot-100/1998-07-11,7/11/1998,5,Ray Of Light,Madonna,Ray Of LightMadonna,1,,5,1,spotify:track:4Fpsa3pYc3gozrxHRRPvR6,0.561,0.909,3,1,0.00118,0.46,127.172,0.71
36,49,http://www.billboard.com/charts/hot-100/2008-07-12,7/12/2008,5,Burnin' Up,Jonas Brothers,Burnin' UpJonas Brothers,1,,5,1,spotify:track:2VEsmoek0sol9MnJFyoG9e,0.667,0.954,2,1,0.0296,0.0,114.0,0.807
37,52,http://www.billboard.com/charts/hot-100/2016-10-29,10/29/2016,5,24K Magic,Bruno Mars,24K MagicBruno Mars,1,,5,1,spotify:track:6b8Be6ljOzmkOmFslEb23P,0.818,0.803,1,1,0.034,0.0,106.97,0.632
38,54,https://www.billboard.com/charts/hot-100/2019-03-02,3/2/2019,5,Please Me,Cardi B & Bruno Mars,Please MeCardi B & Bruno Mars,1,,5,1,spotify:track:0PG9fbaaHFHfre2gUVo7AN,0.747,0.57,1,1,0.0642,0.0,133.992,0.65
39,56,http://www.billboard.com/charts/hot-100/1995-09-16,9/16/1995,6,Runaway,Janet Jackson,RunawayJanet Jackson,1,,6,1,spotify:track:6ayyzu6smOchwXO1vxwfn6,0.787,0.86,1,1,0.364,0.041,109.154,0.862
40,57,http://www.billboard.com/charts/hot-100/1997-08-16,8/16/1997,6,2 Become 1,Spice Girls,2 Become 1Spice Girls,1,,6,1,spotify:track:36AWdhZIGLUTkWpJDhe7va,0.646,0.665,6,1,0.326,1.97e-05,143.966,0.7
41,59,http://www.billboard.com/charts/hot-100/2010-10-30,10/30/2010,6,Back To December,Taylor Swift,Back To DecemberTaylor Swift,1,,6,1,spotify:track:3DrjZArsPsoqbLzUZZV1Id,0.529,0.67,2,1,0.117,0.0,141.893,0.286
42,60,http://www.billboard.com/charts/hot-100/2012-10-20,10/20/2012,6,Red,Taylor Swift,RedTaylor Swift,1,,6,1,spotify:track:0cITLOYn1Sv4q27zZPqlNK,0.602,0.896,1,0,0.0773,8.87e-05,124.978,0.641
43,61,http://www.billboard.com/charts/hot-100/2013-08-31,8/31/2013,6,Applause,Lady Gaga,ApplauseLady Gaga,1,,6,1,spotify:track:5ka2ajep9OAvU5Sgduhiex,0.669,0.78,7,0,0.0265,1.63e-06,139.945,0.738
44,62,http://www.billboard.com/charts/hot-100/2013-11-16,11/16/2013,6,Story Of My Life,One Direction,Story Of My LifeOne Direction,1,,6,1,spotify:track:4nVBt6MZDDP6tRVdQTgxJg,0.6,0.663,3,1,0.225,0.0,121.07,0.286
45,63,http://www.billboard.com/charts/hot-100/2014-08-16,8/16/2014,6,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj","Bang BangJessie J, Ariana Grande & Nicki Minaj",1,,6,1,spotify:track:0puf9yIluy9W0vpMEUoAnN,0.706,0.786,0,0,0.26,0.0,150.028,0.751
46,64,http://www.billboard.com/charts/hot-100/2016-02-20,2/20/2016,6,Summer Sixteen,Drake,Summer SixteenDrake,1,,6,1,spotify:track:17Q87zeXgsAi9iQQbMu9v0,0.594,0.46,1,1,0.00354,2.71e-05,146.274,0.0541
47,65,http://www.billboard.com/charts/hot-100/2017-01-28,1/28/2017,6,Castle On The Hill,Ed Sheeran,Castle On The HillEd Sheeran,1,,6,1,spotify:track:6PCUP3dWmTjcTtXY02oFdT,0.461,0.834,2,1,0.0232,1.14e-05,135.007,0.471
48,66,https://www.billboard.com/charts/hot-100/2018-05-05,5/5/2018,6,ATM,J. Cole,ATMJ. Cole,1,,6,1,spotify:track:2UciqgwVDwro0fev3MFbxJ,0.772,0.498,8,1,0.115,0.0,81.817,0.351
49,67,http://www.billboard.com/charts/hot-100/1997-03-29,3/29/1997,7,All By Myself,Celine Dion,All By MyselfCeline Dion,1,,7,1,spotify:track:0gsl92EMIScPGV1AU35nuD,0.344,0.325,11,0,0.348,0.0239,118.556,0.0773
50,68,http://www.billboard.com/charts/hot-100/1997-09-06,9/6/1997,7,Barbie Girl,Aqua,Barbie GirlAqua,1,,7,1,spotify:track:2RSOzvKUnfDDrb2nQPfpQU,0.81,0.957,1,0,0.0165,0.284,129.985,0.962
51,69,http://www.billboard.com/charts/hot-100/2007-08-04,8/4/2007,7,"Sorry, Blame It On Me",Akon,"Sorry, Blame It On MeAkon",1,,7,1,spotify:track:11FLXIjJOGzx7H0n1bu5wz,0.709,0.65,7,1,0.251,2.32e-05,176.141,0.543
52,72,http://www.billboard.com/charts/hot-100/2012-10-13,10/13/2012,7,Begin Again,Taylor Swift,Begin AgainTaylor Swift,1,,7,1,spotify:track:0L4YCNRfXAoTvdpWeH2RGj,0.53,0.526,7,1,0.199,3.52e-06,79.025,0.323
53,73,http://www.billboard.com/charts/hot-100/2013-11-02,11/2/2013,7,Rap God,Eminem,Rap GodEminem,1,,7,1,spotify:track:6or1bKJiZ06IlK0vFvY75k,0.708,0.843,7,1,0.397,0.0,148.14,0.625
54,74,http://www.billboard.com/charts/hot-100/2016-12-31,12/31/2016,7,Deja Vu,J. Cole,Deja VuJ. Cole,1,,7,1,spotify:track:6I6NX6tjGsxFAsIfGzY9lJ,0.657,0.421,9,1,0.352,0.000218,174.063,0.181
55,75,http://www.billboard.com/charts/hot-100/2017-02-04,2/4/2017,7,Paris,The Chainsmokers,ParisThe Chainsmokers,1,,7,1,spotify:track:15vzANxN8G9wWfwAJLLMCg,0.646,0.644,2,1,0.0243,0.0,99.999,0.251
56,76,https://www.billboard.com/charts/hot-100/2018-02-03,2/3/2018,7,Diplomatic Immunity,Drake,Diplomatic ImmunityDrake,1,,7,1,spotify:track:4haJoBPbPj9QFKNpp9e8kx,0.654,0.839,9,0,0.00531,0.0,74.886,0.549
57,77,https://www.billboard.com/charts/hot-100/2018-02-17,2/17/2018,7,Pray For Me,The Weeknd & Kendrick Lamar,Pray For MeThe Weeknd & Kendrick Lamar,1,,7,1,spotify:track:77UjLW8j5UAGAGVGhR5oUK,0.735,0.677,2,1,0.0762,2.17e-05,100.584,0.188
58,78,https://www.billboard.com/charts/hot-100/2018-05-12,5/12/2018,7,Better Now,Post Malone,Better NowPost Malone,1,,7,1,spotify:track:7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,10,1,0.331,0.0,145.038,0.341
59,79,https://www.billboard.com/charts/hot-100/2019-04-13,4/13/2019,7,Bad Guy,Billie Eilish,Bad GuyBillie Eilish,1,,7,1,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7,1,0.328,0.13,135.128,0.562
60,80,https://www.billboard.com/charts/hot-100/2019-09-14,9/14/2019,7,Circles,Post Malone,CirclesPost Malone,1,,7,1,spotify:track:21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,1,0.192,0.00244,120.042,0.553
61,81,http://www.billboard.com/charts/hot-100/1997-07-12,7/12/1997,8,Sunny Came Home,Shawn Colvin,Sunny Came HomeShawn Colvin,1,,8,1,spotify:track:4mOxpj82q6n3EO7HBZCelX,0.554,0.58,11,0,0.344,0.00842,167.83,0.402
62,82,http://www.billboard.com/charts/hot-100/2005-05-07,5/7/2005,8,Speed Of Sound,Coldplay,Speed Of SoundColdplay,1,,8,1,spotify:track:7clUVcSOtkNWa58Gw5RfD4,0.514,0.898,11,0,0.00488,0.0345,123.067,0.353
63,84,http://www.billboard.com/charts/hot-100/2010-10-23,10/23/2010,8,Speak Now,Taylor Swift,Speak NowTaylor Swift,1,,8,1,spotify:track:24DefNCFiWTP8OjYWiXuYe,0.709,0.599,7,1,0.095,0.0,118.975,0.735
64,85,http://www.billboard.com/charts/hot-100/2010-11-27,11/27/2010,8,Teenage Dream,Glee Cast,Teenage DreamGlee Cast,1,,8,1,spotify:track:2Igc5kWSzeztCCZInea9Mf,0.493,0.362,2,1,0.74,0.0,129.739,0.65
65,86,http://www.billboard.com/charts/hot-100/2012-10-20,10/20/2012,8,Skyfall,Adele,SkyfallAdele,1,,8,1,spotify:track:6VObnIkLVruX4UVyxWhlqm,0.346,0.552,0,0,0.417,0.0,75.881,0.0789
66,87,http://www.billboard.com/charts/hot-100/2015-01-31,1/31/2015,8,Sugar,Maroon 5,SugarMaroon 5,1,,8,1,spotify:track:2iuZJX9X9P0GKaE93xcPjk,0.748,0.788,1,1,0.0591,0.0,120.076,0.884
67,88,http://www.billboard.com/charts/hot-100/2016-03-19,3/19/2016,8,Piece By Piece,Kelly Clarkson,Piece By PieceKelly Clarkson,1,,8,1,spotify:track:3KbFtYPyVP6C7BQVgH2cCf,0.561,0.245,1,1,0.904,0.0,109.558,0.402
68,89,http://www.billboard.com/charts/hot-100/2017-04-08,4/8/2017,8,Passionfruit,Drake,PassionfruitDrake,1,,8,1,spotify:track:5mCPDVBb16L4XQwDdbRUpz,0.809,0.463,11,1,0.256,0.085,111.98,0.364
69,90,https://www.billboard.com/charts/hot-100/2018-08-18,8/18/2018,8,Stargazing,Travis Scott,StargazingTravis Scott,1,,8,1,spotify:track:7wBJfHzpfI3032CSD7CE2m,0.487,0.789,8,1,0.00947,4.05e-06,150.007,0.0564
70,92,https://www.billboard.com/charts/hot-100/2019-08-17,8/17/2019,8,Boyfriend,Ariana Grande & Social House,BoyfriendAriana Grande & Social House,1,,8,1,spotify:track:0Ryd8975WihbObpp5cPW1t,0.4,0.795,10,0,0.119,0.0,190.097,0.702
71,94,http://www.billboard.com/charts/hot-100/1996-07-20,7/20/1996,9,Change The World,Eric Clapton,Change The WorldEric Clapton,1,,9,1,spotify:track:6BQNJ0JFKh8sWjQLI6Zudi,0.721,0.558,9,1,0.492,0.00563,96.887,0.542
72,95,http://www.billboard.com/charts/hot-100/2008-09-06,9/6/2008,9,So What,P!nk,So WhatP!nk,1,,9,1,spotify:track:0JiY190vktuhSGN6aqJdrt,0.534,0.87,11,0,0.000329,0.0,126.019,0.462
73,96,http://www.billboard.com/charts/hot-100/2009-11-14,11/14/2009,9,Bad Romance,Lady Gaga,Bad RomanceLady Gaga,1,,9,1,spotify:track:0SiywuOBRcynK0uKGWdCnn,0.696,0.921,0,1,0.00314,5.24e-05,119.001,0.714
74,99,http://www.billboard.com/charts/hot-100/2012-03-03,3/3/2012,9,Starships,Nicki Minaj,StarshipsNicki Minaj,1,,9,1,spotify:track:1oHNvJVbFkexQc0BpQp7Y4,0.747,0.716,11,0,0.135,0.0,125.008,0.751
75,104,https://www.billboard.com/charts/hot-100/2018-11-03,11/3/2018,9,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)Post Malone & Swae Lee,1,,9,1,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.76,0.479,2,1,0.556,0.0,89.911,0.913
76,105,http://www.billboard.com/charts/hot-100/1997-02-22,2/22/1997,10,Discotheque,U2,DiscothequeU2,1,,10,1,spotify:track:3IrhUrZKAkJ8LsFtH71fOT,0.581,0.825,4,0,0.000859,0.095,120.362,0.663
77,107,http://www.billboard.com/charts/hot-100/2008-08-30,8/30/2008,10,Change,Taylor Swift,ChangeTaylor Swift,1,,10,1,spotify:track:4NAmRvqSITAAzKWnC8yRq3,0.624,0.458,6,1,0.36,3.89e-06,80.017,0.436
78,108,http://www.billboard.com/charts/hot-100/2011-07-30,7/30/2011,10,Skyscraper,Demi Lovato,SkyscraperDemi Lovato,1,,10,1,spotify:track:4B3RmT3cGvh8By3WY9pbIx,0.573,0.581,7,1,0.148,0.0,103.82,0.188
79,109,http://www.billboard.com/charts/hot-100/2015-11-07,11/7/2015,10,Perfect,One Direction,PerfectOne Direction,1,,10,1,spotify:track:3NLnwwAQbbFKcEcV8hDItk,0.647,0.823,2,1,0.0598,0.0,99.933,0.396
80,110,http://www.billboard.com/charts/hot-100/2016-04-02,4/2/2016,10,Dangerous Woman,Ariana Grande,Dangerous WomanAriana Grande,1,,10,1,spotify:track:7l94dyN2hX9c6wWcZQuOGJ,0.664,0.602,4,0,0.0529,0.0,134.049,0.289
81,111,http://www.billboard.com/charts/hot-100/1996-03-23,3/23/1996,11,Real Love,The Beatles,Real LoveThe Beatles,1,,11,1,spotify:track:5frMgt4jqRGJk3yMKfqOyl,0.375,0.694,8,1,0.0458,0.019,175.726,0.405
82,112,http://www.billboard.com/charts/hot-100/2008-08-23,8/23/2008,11,A Little Bit Longer,Jonas Brothers,A Little Bit LongerJonas Brothers,1,,11,1,spotify:track:1C9CSFviMwp3kyZHmV09ed,0.302,0.619,0,1,0.0228,0.0,156.359,0.291
83,113,http://www.billboard.com/charts/hot-100/2011-12-03,12/3/2011,11,Rumour Has It / Someone Like You,Glee Cast,Rumour Has It / Someone Like YouGlee Cast,1,,11,1,spotify:track:5iYUt3rsgrGFU0nugdhYwj,0.64,0.896,6,0,0.275,0.0,123.071,0.751
84,114,http://www.billboard.com/charts/hot-100/2012-03-10,3/10/2012,11,So Good,B.o.B,So GoodB.o.B,1,,11,1,spotify:track:28GUjBGqZVcAV4PHSYzkj2,0.66,0.9,7,1,0.0403,0.0,85.51,0.591
85,115,http://www.billboard.com/charts/hot-100/2013-12-07,12/7/2013,11,Diana,One Direction,DianaOne Direction,1,,11,1,spotify:track:6twW4ma6w0mOeejejPK0nY,0.549,0.868,2,1,0.0604,0.0,171.96,0.755
86,116,http://www.billboard.com/charts/hot-100/2014-07-26,7/26/2014,11,Dirt,Florida Georgia Line,DirtFlorida Georgia Line,1,,11,1,spotify:track:5CXnIPD6rTjszYYQm6fY2P,0.547,0.878,2,1,0.0638,7.08e-06,121.973,0.592
87,117,http://www.billboard.com/charts/hot-100/2016-05-14,5/14/2016,11,Sorry,Beyonce,SorryBeyonce,1,,11,1,spotify:track:0lnIJmgcUpEpe4AZACjayW,0.775,0.598,2,1,0.00175,4.44e-06,129.988,0.356
88,118,http://www.billboard.com/charts/hot-100/2016-08-06,8/6/2016,11,Rise,Katy Perry,RiseKaty Perry,1,,11,1,spotify:track:1CwNogTShsnsn1C8UhRmYX,0.553,0.639,11,1,0.0468,0.0,101.418,0.442
89,119,https://www.billboard.com/charts/hot-100/2018-05-12,5/12/2018,11,Paranoid,Post Malone,ParanoidPost Malone,1,,11,1,spotify:track:3fpVWegR6YOS1Yk5HSMYIq,0.625,0.536,0,1,0.038,2.31e-05,159.914,0.253
90,120,https://www.billboard.com/charts/hot-100/2018-06-16,6/16/2018,11,All Mine,Kanye West,All MineKanye West,1,,11,1,spotify:track:3U21A07gAloCc4P7J8rxcn,0.925,0.31,11,0,0.123,0.0,121.927,0.291
91,121,https://www.billboard.com/charts/hot-100/2019-10-19,10/19/2019,11,Bandit,Juice WRLD & YoungBoy Never Broke Again,BanditJuice WRLD & YoungBoy Never Broke Again,1,,11,1,spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,0.474,0.631,5,0,0.0687,0.0,180.051,0.425
92,122,https://www.billboard.com/charts/hot-100/2019-12-14,12/14/2019,11,Blinding Lights,The Weeknd,Blinding LightsThe Weeknd,1,,11,1,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,1,0.00146,9.54e-05,171.005,0.334
93,123,http://www.billboard.com/charts/hot-100/1995-11-18,11/18/1995,12,Diggin' On You,TLC,Diggin' On YouTLC,1,,12,1,spotify:track:2W2vmNmTLERMWT9XBxm35E,0.719,0.631,6,1,0.0235,0.702,80.127,0.456
94,124,http://www.billboard.com/charts/hot-100/2006-07-15,7/15/2006,12,Somewhere Over The Rainbow,Katharine McPhee,Somewhere Over The RainbowKatharine McPhee,1,,12,1,spotify:track:2UORsaluUZXiMvkkkedDTJ,0.43,0.203,8,1,0.863,4.71e-06,119.884,0.105
95,125,http://www.billboard.com/charts/hot-100/2006-09-23,9/23/2006,12,Ring The Alarm,Beyonce,Ring The AlarmBeyonce,1,,12,1,spotify:track:5BkHkyO9PFXs1m7vSMnXp4,0.458,0.751,2,1,0.0299,0.000155,169.673,0.48
96,128,http://www.billboard.com/charts/hot-100/2012-08-04,8/4/2012,12,Take A Little Ride,Jason Aldean,Take A Little RideJason Aldean,1,,12,1,spotify:track:2o5mwv7hvas1jdUg14Nihv,0.472,0.866,2,1,0.044,0.0,163.867,0.775
97,129,http://www.billboard.com/charts/hot-100/2012-12-15,12/15/2012,12,Scream & Shout,will.i.am & Britney Spears,Scream & Shoutwill.i.am & Britney Spears,1,,12,1,spotify:track:2iJuuzV8P9Yz0VSurttIV5,0.772,0.685,5,1,0.019,8.96e-05,130.033,0.501
98,130,http://www.billboard.com/charts/hot-100/2014-08-09,8/9/2014,12,Burnin' It Down,Jason Aldean,Burnin' It DownJason Aldean,1,,12,1,spotify:track:5HJqpDspKDKwQpLjvkcIsD,0.681,0.795,6,1,0.305,9.41e-06,135.939,0.64
99,131,http://www.billboard.com/charts/hot-100/1998-03-28,3/28/1998,13,Bitter Sweet Symphony,The Verve,Bitter Sweet SymphonyThe Verve,1,,13,1,spotify:track:57iDDD9N9tTWe75x6qhStw,0.356,0.917,9,1,0.0335,0.0,171.176,0.518
100,132,http://www.billboard.com/charts/hot-100/1998-04-11,4/11/1998,13,Sex And Candy,Marcy Playground,Sex And CandyMarcy Playground,1,,13,1,spotify:track:5mkGfmJGFZpwK9nA5amOhv,0.67,0.558,2,1,0.238,0.0,80.511,0.63
101,134,http://www.billboard.com/charts/hot-100/2011-11-26,11/26/2011,13,Ours,Taylor Swift,OursTaylor Swift,1,,13,1,spotify:track:1EQn3Uc5AyUXoiPLeyCrrg,0.608,0.569,0,1,0.537,0.0,159.845,0.238
102,135,http://www.billboard.com/charts/hot-100/2012-10-13,10/13/2012,13,Die Young,Ke$ha,Die YoungKe$ha,1,,13,1,spotify:track:30hwa9p7CU4i90o9l5YMVL,0.71,0.375,2,1,0.786,6.14e-05,79.964,0.558
103,136,http://www.billboard.com/charts/hot-100/2012-11-03,11/3/2012,13,State Of Grace,Taylor Swift,State Of GraceTaylor Swift,1,,13,1,spotify:track:5zyCYmiaVE5y26EZuwZbsw,0.588,0.825,4,1,0.000197,0.00138,129.968,0.397
